question,contexts,answer,ground_truth,context_precision,context_recall,faithfulness,answer_relevancy
Điện thoại Viettel T2 4G có giá bao nhiêu?,"['Giá bán điện thoại Viettel T2 4G bao nhiêu?\n\nĐiện thoại Viettel T2 4G dự kiến được mở bán với mức giá khởi điểm là 550 nghìn đồng dành cho phiên bản bộ nhớ trong 128MB và 2 sim, 2 sóng. Ở phân khúc giá trên 500 nghìn đồng, điện thoại của Viettel nằm ở mức giá bình dân nên có thể tiếp cận được với hầu hết người dùng.\n\nVới mức giá trên 500 nghìn đồng, điện thoại Viettel T2 4G sẽ phải cạnh tranh với các đối thủ như Itel it8010, Itel it2600, Mobell M239, Masstel IZI T6 4G, Mobell M331 4G, Masstel Fami 50 4G, Nokia HMD 105 4G, Mobell F209 4G, Nokia 105 4G Pro, Mobell M539 4G,...\n\nKhi nào điện thoại Viettel T2 4G ra mắt?'
 ""**Tên sán phẩm:** Viettel T2 4G\n\n**Giá sản phẩm:** 530.000đ\n\n**Các màu của sản phẩm:** Đen, Xanh\n\n**Thông số sản phẩm:** Pin: 1400 mAh\n\nChipset: T107\n\nCamera sau: 0.08MP\n\nBộ nhớ trong: 128 MB\n\nDung lượng RAM: 48MB\n\nHệ điều hành: Mocor(RTOS)\n\nTính năng màn hình: 2.4'' QVGA TN\n\nKích thước màn hình: 2.4 inches\n\n**Giới thiệu sản phẩm:** Đặc điểm nổi bật của Viettel T2 4G""
 'Chiếc điện thoại Viettel T2 4G trang bị cổng sạc Type-C phổ biến nên bạn có thể sử dụng cáp sạc chung với các thiết bị khác. Phần thân của điện thoại Viettel còn tích hợp thêm cổng jack 3.5mm và thiết bị cũng hỗ trợ công nghệ kết nối Bluetooth.\xa0\n\nMua ngay điện thoại Viettel T2 4G chính hãng tại CellphoneS\n\nĐiện thoại Viettel T2 4G là một thiết bị giá rẻ có thể đáp ứng các nhu cầu nghe gọi và nhắn tin cơ bản hàng ngày. Khi đặt mua điện thoại Viettel T2 4G chính hãng tại CellphoneS, bạn sẽ được giảm thêm hấp dẫn dành cho Smember. Chọn mua ngay chiếc điện thoại phổ thông Viettel tại CellphoneS bạn nhé.\xa0\n\nXem thêm']",Điện thoại Viettel T2 4G có giá khởi điểm là 530.000 đồng.,Điện thoại Viettel T2 4G có giá 530.000đ.,0.99999999995,,0.0,0.8303265691372572
Điện thoại Viettel T2 4G có những màu sắc nào?,"['Kiểu dáng nhỏ gọn, nhiều màu sắc bắt mắt\n\nBàn phím của điện thoại Viettel T2 4G có thiết kế phím nổi nên bạn có thể thao tác dễ dàng. Bên cạnh đó, điện thoại của Viettel còn được chế tác từ nhựa cao cấp với hai gam màu gồm đen và xanh dương. Các cạnh bên của điện thoại Viettel được bo cong mềm mại đảm bảo người dùng cầm nắm thuận tiện và thoải mái.\xa0\n\nGiá bán điện thoại Viettel T2 4G bao nhiêu?'
 'Nội dung chính\n\n1. Viettel T2 4G - Điện thoại phổ thông có ngoại hình nhỏ gọn và màn hình lớn\n1.1. Mang đến thời gian nghe gọi lâu dài nhờ có viên pin lớn\n1.2. Hỗ trợ chụp ảnh cơ bản với camera ở mặt sau, bộ nhớ vượt trội\n1.3. Màn hình lớn hiển thị mọi ký tự rõ nét\n1.4. Kiểu dáng nhỏ gọn, nhiều màu sắc bắt mắt\n2. Giá bán điện thoại Viettel T2 4G bao nhiêu?\n3. Khi nào điện thoại Viettel T2 4G ra mắt?\n4. Mua ngay điện thoại Viettel T2 4G chính hãng tại CellphoneS\nViettel T2 4G - Điện thoại phổ thông có ngoại hình nhỏ gọn và màn hình lớn'
 'Viettel T2 4G thuộc dòng điện thoại phổ thông phân khúc bình dân với công nghệ mạng 4G tiên tiến đáp ứng mọi nhu cầu nghe gọi. Bên trong điện thoại là 2 khe nano SIM hỗ trợ người dùng sử dụng linh hoạt và quản lý danh bạ tốt hơn. Với viên pin lớn cùng thiết kế nhỏ gọn, điện thoại nhà Viettel cũng mang đến trải nghiệm sử dụng tuyệt vời.\xa0\n\nMang đến thời gian nghe gọi lâu dài nhờ có viên pin lớn']",Điện thoại Viettel T2 4G có hai màu sắc nổi bật là đen và xanh dương.,Điện thoại Viettel T2 4G có hai màu sắc là Đen và Xanh.,0.9999999999,,0.5,0.8394958853096317
Điện thoại Viettel T2 4G phù hợp với ai?,"['Viettel T2 4G thuộc dòng điện thoại phổ thông phân khúc bình dân với công nghệ mạng 4G tiên tiến đáp ứng mọi nhu cầu nghe gọi. Bên trong điện thoại là 2 khe nano SIM hỗ trợ người dùng sử dụng linh hoạt và quản lý danh bạ tốt hơn. Với viên pin lớn cùng thiết kế nhỏ gọn, điện thoại nhà Viettel cũng mang đến trải nghiệm sử dụng tuyệt vời.\xa0\n\nMang đến thời gian nghe gọi lâu dài nhờ có viên pin lớn'
 'Chiếc điện thoại Viettel T2 4G trang bị cổng sạc Type-C phổ biến nên bạn có thể sử dụng cáp sạc chung với các thiết bị khác. Phần thân của điện thoại Viettel còn tích hợp thêm cổng jack 3.5mm và thiết bị cũng hỗ trợ công nghệ kết nối Bluetooth.\xa0\n\nMua ngay điện thoại Viettel T2 4G chính hãng tại CellphoneS\n\nĐiện thoại Viettel T2 4G là một thiết bị giá rẻ có thể đáp ứng các nhu cầu nghe gọi và nhắn tin cơ bản hàng ngày. Khi đặt mua điện thoại Viettel T2 4G chính hãng tại CellphoneS, bạn sẽ được giảm thêm hấp dẫn dành cho Smember. Chọn mua ngay chiếc điện thoại phổ thông Viettel tại CellphoneS bạn nhé.\xa0\n\nXem thêm'
 'Giá bán điện thoại Viettel T2 4G bao nhiêu?\n\nĐiện thoại Viettel T2 4G dự kiến được mở bán với mức giá khởi điểm là 550 nghìn đồng dành cho phiên bản bộ nhớ trong 128MB và 2 sim, 2 sóng. Ở phân khúc giá trên 500 nghìn đồng, điện thoại của Viettel nằm ở mức giá bình dân nên có thể tiếp cận được với hầu hết người dùng.\n\nVới mức giá trên 500 nghìn đồng, điện thoại Viettel T2 4G sẽ phải cạnh tranh với các đối thủ như Itel it8010, Itel it2600, Mobell M239, Masstel IZI T6 4G, Mobell M331 4G, Masstel Fami 50 4G, Nokia HMD 105 4G, Mobell F209 4G, Nokia 105 4G Pro, Mobell M539 4G,...\n\nKhi nào điện thoại Viettel T2 4G ra mắt?']","Điện thoại Viettel T2 4G phù hợp với nhiều đối tượng khác nhau:

- Đối với người dùng cần một thiết bị cơ bản để nghe gọi và nhắn tin.
- Có thể sử dụng cho những người mới bắt đầu sử dụng điện thoại thông minh hoặc muốn tìm hiểu về các tính năng cơ bản của nó.
- Tốt cho những người có nhu cầu tiết kiệm chi phí nhưng vẫn mong muốn trải nghiệm công nghệ 4G.

Đây là một lựa chọn phù hợp với nhiều đối tượng khác nhau, từ người dùng mới đến những người đã quen thuộc với các thiết bị thông minh.",Điện thoại Viettel T2 4G phù hợp với người dùng cần một thiết bị giá rẻ để nghe gọi và nhắn tin cơ bản hàng ngày.,0.9999999999666667,,1.0,0.0
Xiaomi Redmi Note 13 Pro Plus có giá bao nhiêu?,"['Redmi Note 13 Pro Plus giá bao nhiêu?\n\nNgười dùng chắc hẳn đang rất trông đợi và đặt ra câu hỏi Redmi note 13 Pro+ plus giá bao nhiêu nhưng gần đay Trung Quốc đã công bố mức giá dự kiến Redmi Note 13+\xa0và đã tạo sự chú ý trong cộng đồng người dùng. Dự kiến, sản phẩm sẽ có mức giá từ 1.899 NDT, tương đương khoảng 6.9 triệu VNĐ. Mỗi phiên bản nâng cấp về cấu hình thì giá Xiaomi\xa0Redmi Note 13 Pro plus 5G sẽ có sự chênh lệch đôi chút, chi tiết giá bán tham khảo ở từng phiên bản như sau:\n\nPhiên bản\n\n\t\n\nGiá bán tại Trung Quốc\n\n\t\n\nGiá bán dự kiến tại Việt Nam\n\n\n\n\nRedmi Note 13 Pro +\xa0RAM 12GB + ROM 256GB\n\n\t\n\n1,999 CNY\n\n\t\n\nGiá từ 6.650.000 VND\n\n\n\n\nRedmi Note 13 Pro + RAM 12GB + ROM 512GB\n\n\t\n\n2,199 CNY'
 'Giá bán tại Trung Quốc\n\n\t\n\nGiá bán dự kiến tại Việt Nam\n\n\n\n\nRedmi Note 13 Pro +\xa0RAM 12GB + ROM 256GB\n\n\t\n\n1,999 CNY\n\n\t\n\nGiá từ 6.650.000 VND\n\n\n\n\nRedmi Note 13 Pro + RAM 12GB + ROM 512GB\n\n\t\n\n2,199 CNY\n\n\t\n\nGiá từ\xa07.300.000 VND\n\n\n\n\nRedmi Note 13 Pro + RAM 16GB + ROM 512GB\n\n\t\n\n2,299 CNY\n\n\t\n\nGiá từ\xa07.650.000 VND\n\n*** Lưu ý: Giá bán chính hãng của\xa0Redmi Note 13 Pro+ chỉ mang tính chất tham khảo\n\nVới mức giá hợp lý và tính năng ấn tượng, Xiaomi Note 13 Pro Plus hứa hẹn sẽ là một sự lựa chọn tuyệt. Sản phẩm sẽ cạnh tranh với các dòng điện thoại khác như: Samsung Galaxy S20 FE, Vivo X60 Pro, realme 11, …\n\nXiaomi Redmi Note 13 Pro Plus 5g ra mắt khi nào tại Việt Nam?'
 'Xiaomi Note 13 Pro giá bao nhiêu?\n\nTại thị trường Trung Quốc, điện thoại Xiaomi Redmi Note 13 pro có giá khởi điểm là 14999 nhân dân tệ. Có thể thấy, con số trên không có sự chênh lệch quá lớn so với phiên bản tiền nhiệm.\xa0Ngoài phiên bản Pro nếu chỉ dùng cho các tác vụ cơ bản thì phiên bản base\xa0điện thoại\xa0Xiaomi Redmi Note 13\xa0cũng sẽ là một trong những lựa chọn xứng đáng trong tầm giá hiện nay. Nếu có nhu cầu cùng khám phá ngay nhé!\n\nMức giá của Redmi Note 13 Pro chính hãng bao nhiêu còn tùy thuộc vào phiên bản bộ nhớ. Tại thị trường Việt Nam, điện thoại Redmi Note 13 Pro 4G hiện đang có mức giá tham khảo tại CellphoneS vào 10/2025 như sau:\n\nTên sản phẩm']",Xiaomi Redmi Note 13 Pro Plus có giá từ khoảng 6.9 triệu VNĐ tại Việt Nam. Giá dự kiến sẽ dao động trong khoảng 7.300.000 VND đến 7.650.000 VND tùy theo phiên bản RAM và ROM.,Giá sản phẩm là 7.890.000đ.,0.49999999995,,1.0,0.8106146641007103
Điện thoại này có những màu sắc nào?,"['Điện thoại iPhone 14 có mấy màu?\n\nTương tự như các thế hệ series khác, Apple cũng cho ra mắt điện thoại iPhone 14 với nhiều phiên bản màu sắc khác nhau bao gồm Purple (tím), Blue (xanh), RED Product (đỏ) và Midnight (đen), Starlight (trắng). Trong đó, hai màu sắc mới là xanh và tím.\n\nĐiện thoại iPhone 14 màu đen Midnight\n\nMàu đen là màu sắc truyền thống được trang bị trên hầu hết các thương hiệu điện thoại và Apple cũng không ngoại lệ. Sắc đen trung tính nhưng lại rất sang trọng, không lỗi mốt, không kén người dùng có thể thích hợp cho cả người dùng nam và nữ. Điện thoại iPhone 14 màu đen Midnight phù hợp với người dùng tối giản, không quá cầu kỳ.'
 'iPhone 15 Plus có bao nhiêu màu, mua màu nào đẹp?\n\niPhone 15 Plus với thiết kế mặt lưng kính pha màu nhờ đó mang lại bộ sưu tập màu sắc hoàn toàn mới. Cụ thể, máy với 5 phiên bản màu sắc, bao gồm: Đen, Vàng, Xanh lá, Xanh dương và Hồng. Các màu sắc trên 15 Plus đều được hoàn thiện passtel nhẹ nhàng.\n\n(Ảnh: Apple.com)\n\nMàu đen ((Black): Tuy là màu đen quen thuộc nhưng sắc đen trên thiết bị nhẹ nhành hơn mang lại sự tối giản và sang trọng. Đặc biệt màu đen cũng sẽ không bị lỗi thời nhờ đó dễ dàng sử dùng với nhiều đối tượng người dùng, đặc biệt là người dùng yêu thích sự tối giản.'
 'Điện thoại Nubia V60 Design được ZTE giới thiệu với 3 tuỳ chọn màu sắc là Dark Blue, Sunrise Violet và Champagne Gold. Nhờ việc sở hữu đa dạng màu sắc này mà dòng điện thoại giá rẻ của ZTE này sẽ phù hợp để người dùng thuộc mọi giới tính, độ tuổi sử dụng.\n\nGiá điện thoại Nubia V60 Design bao nhiêu?']","Điện thoại iPhone 14 có màu sắc như sau:

- Midnight (đen)
- Purple (tím)
- Blue (xanh)
- RED Product (đỏ)

Một số màu mới là xanh và tím.","Sản phẩm có các màu Đen, Trắng (độc quyền) và Tím.",0.9999999999,0.0,1.0,0.5015809960905141
Thông số kỹ thuật nổi bật của Xiaomi Redmi Note 13 Pro Plus là gì?,"['Cùng với đó, camera điện thoại Xiaomi còn được trang bị thuật toán Hight Pixel Engine – thuật toán tự phát triển với khả năng chụp ảnh với sự tích hợp sức mạnh của các modun nhờ đó giúp cải thiện độ phân giải một cách đáng kể. Bên cạnh chất lượng thì điện thoại với khả năng chụp nhanh ấn tượng. Hình ảnh cho ra trên điện thoại với gam màu P3 nhờ đó mang lại những bức ảnh với màu sắc phong phú.\xa0\n\nDung lượng pin Note 13 Pro Plus 5000 mAh sạc nhanh 120W'
 'Kích thước màn hình: 6.67 inches\n\nĐộ phân giải màn hình: 1220 x 2712 pixels\n\n**Giới thiệu sản phẩm:** Đặc điểm nổi bật của Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB\n\nXiaomi Redmi Note 13 Pro Plus\xa0sở hữu\xa0màn hình rộng 6.67 inch, trang bị bộ vi xử lý Dimensity 7200 đem lại hiệu năng kinh ngạc. Với dung lượng pin 5000 mAh cùng hỗ trợ sạc nhanh lên đến 120W. Camera 200MP và khả năng zoom 4x mở ra những trải nghiệm chụp ảnh độc đáo và đa dạng.\n\nChip set\n\n\t\n\n✅\xa0Mediatek Dimensity 7200 Ultra (4 nm)\n\n\n\n\nMàn hình\n\n\t\n\n✅\xa06.67 inch\xa0OLED 12-bit\xa0120Hz\n\n\n\n\nCamera\n\n\t\n\n✅\xa0Camera chính 200MP + Chụp zoom\n\n\n\n\nPin\n\n\t\n\n✅\xa05000 mAh,\xa0sạc nhanh 120W\n\nNội dung chính'
 'Xiaomi Note 13 Pro Plus mang đến một thiết kế hiện đại và tối ưu với viền bezel mỏng và lỗ đục trên màn hình. Điều này được đánh giá là điểm sáng của máy vừa tiest kiệm được viền màn hình vừa mang đế một phong cách tinh tế khi cầm nắm. Mặt lưng điện thoại được hoàn thiện từ kính được thiết kế cong ở hai bên mang lại cho người dùng trải nghiệm cầm nắm thoải mái. Đặc biệt trên thiết kế mặt lưng\xa0Redmi Note\xa013 Pro plus đó là máy không sử dụng hiệu ứng gradiant quen thuộc mà sẽ sở hữu mặt lưng họa thiết 2 nửa với họa tiết nửa trên khác biệt với nửa dưới khá độc']","Xiaomi Redmi Note 13 Pro Plus nổi bật với:

- Màn hình rộng 6.67 inch, viền bezel mỏng và lỗ đục trên màn hình.
- Bộ vi xử lý Dimensity 7200 Ultra (4 nm).
- Dung lượng pin 5000 mAh cùng hỗ trợ sạc nhanh lên đến 120W.
- Camera chính 200MP với khả năng zoom 4x.","Điện thoại có pin 5000 mAh, chipset Mediatek Dimensity 7200 Ultra, camera sau 200 MP, camera trước 16 MP, RAM 8 GB, bộ nhớ trong 256 GB, và màn hình 6.67 inches với tần số quét 120Hz.",0.49999999995,,1.0,0.8055671312970675
Điện thoại OPPO Find N3 có giá bao nhiêu?,"['Tại Việt Nam, sản phẩm đã nhanh chóng trở thành một chủ đề nổi bật trong các cuộc thảo luận đầy sôi nổi trong cộng đồng công nghệ. Đến hiện tại, đây vẫn là một con máy rất đáng xuống tiền khi chưa có dấu hiệu lỗi thời.\n\nĐiện thoại OPPO Find N3 giá bán bao nhiêu tiền?\n\nTên sản phẩm\n\n\t\n\nGiá bán\n\n\t\n\nGiá thu cũ lên đời\n\nOPPO FIND N5\n\n\t\n\n44.180.000đ\n\n\t\n\n42.180.000đ\n\n\n\n\nOPPO Find N3 16GB 512GB\n\n\t\n\n26.990.000đ\n\n\t\n\n24.990.000đ\n\n\n\n\nOPPO Find N3 Flip 12GB 256GB\n\n\t\n\n13.990.000đ\n\n\t\n\n11.990.000đ'
 'Giá bán\n\n\t\n\nGiá thu cũ lên đời\n\nOPPO FIND N5\n\n\t\n\n44.180.000đ\n\n\t\n\n42.180.000đ\n\n\n\n\nOPPO Find N3 16GB 512GB\n\n\t\n\n26.990.000đ\n\n\t\n\n24.990.000đ\n\n\n\n\nOPPO Find N3 Flip 12GB 256GB\n\n\t\n\n13.990.000đ\n\n\t\n\n11.990.000đ\n\nDòng OPPO Find luôn được quan tâm bởi cụm Camera siêu nét, đi cùng với đó là thắc mắc “giá bán của OPPO Find N3 là bao nhiêu?”. Vì vậy với mức giá trên, sản phẩm cũng được xếp ngang hàng với những flagship màn hình gập đình đám từ những thương hiệu khác.'
 'Hiện nay, chiếc điện thoại N3 Flip đã được trưng bày tại khu vực demo của các cửa hàng CellphoneS. Khi đến hệ thống cửa hàng trên toàn quốc, người dùng có thể trực tiếp trải nghiệm và lựa chọn phiên bản điện thoại phù hợp với sở thích của bản thân.\n\nOPPO Find N3 Flip giá bao nhiêu?\n\nOPPO Find N3 Flip được bán tại CellphoneS có giá niêm yết ở mức 13.990.000 đồng. Tuy nhiên, giá bán OPPO Flip N3 chưa được giảm trừ từ các chương trình khuyến mãi, hỗ trợ thu cũ lên đời điện thoại hay chiết khấu Smember, S-Student và nhiều ưu đãi thành viên khác của CellphoneS.']","Điện thoại OPPO Find N3 có giá bán là 26.990.000 đồng cho phiên bản 16GB 512GB và 13.990.000 đồng cho phiên bản Flip 12GB 256GB. Giá niêm yết tại cửa hàng CellphoneS dao động từ 24.990.000 đồng đến 11.990.000 đồng, tùy thuộc vào phiên bản và dung lượng lưu trữ.",Điện thoại OPPO Find N3 có giá 26.990.000đ.,0.99999999995,,0.75,0.8319202047102365
OPPO Find N3 có những màu sắc nào?,"['Phần bản lề của điện thoại được hoàn thiện từ vật liệu sử dụng trong ngành hàng không nhằm mang tới sự bền bỉ. Bản lề của OPPO N3 Flip có thể gập thoải mái tới 1 triệu lần và có độ sâu của nếp gấp không đến 0.15mm5. Với thanh trượt trạng thái ở cạnh viền, người dùng sẽ dễ dàng chuyển đổi giữa các chế độ chỉ bằng một thao tác.\n\nOPPO Find N3 Flip ra mắt khi nào?\n\nĐiện thoại OPPO N3 Flip đã chính thức xuất hiện vào ngày 26/10/2023. Điện thoại được ra mắt với ba tuỳ chọn màu sắc là Đen Hổ Phách, Hồng Ngọc Bích và Vàng Thạch Anh.'
 'Đối với một chiếc smartphone gập, N3 cũng đã ghi điểm bởi ngoại hình mỏng nhẹ, độ dày chỉ 5.8mm (phiên bản Vàng Cổ Điển). Mặc dù có kiểu dáng siêu mỏng nhưng sản phẩm vẫn khá bền bỉ khi được hoàn thiện từ chất liệu sử dụng trong hàng không, kết hợp công nghệ bản lề uốn tầng. Máy đã đạt chứng nhận TUV Rheinland về độ bền của màn hình gập.\n\nĐiện thoại OPPO Find N3 ra mắt khi nào?\n\nOPPO Find N3 được công bố chính thức vào ngày 26/10/2023. Hãng đã chọn thời điểm này để tạo sức cạnh tranh trực tiếp với nhiều đối thủ trên thị trường.'
 'Ngoại hình mỏng nhẹ cùng phong cách thiết kế mang tính biểu tượng\n\nOPPO Find N3 sở hữu phong cách thiết kế mang tính biểu tượng, đặc trưng cho nhà OPPO với tổng thể siêu mỏng nhẹ, phẳng hơn cùng điểm nhấn là cụm camera kích thước lớn. Theo hãng công bố, ngoại hình sản phẩm được lấy cảm hứng từ những mẫu đồng hồ lịch lãm, đẳng cấp và sang trọng.']","OPPO Find N3 có ba màu sắc chính là Đen Hổ Phách, Hồng Ngọc Bích và Vàng Thạch Anh.",OPPO Find N3 có hai màu sắc là Đen và Vàng.,0.0,,1.0,0.7560613812768274
Thông số kỹ thuật nổi bật của OPPO Find N3 là gì?,"['Ngoài ra, OPPO Find N3 sở hữu cụm Camera ấn tượng gồm 48MP (chính), 64MP (Tele 3x) và 48MP (góc rộng) ở mặt sau và 2 Camera 20MP - 32MP ở mặt trước. Find N3 còn tích hợp thêm Camera Tele 6x in-sensor zoom 16MP vào cụm Camera sau, mang đến chất lượng ảnh chụp siêu nét và nổi bật.\n\nKhông chỉ vậy, việc chụp ảnh selfie cũng trở nên thú vị hơn với camera FlexForm khi không cần phải có người cầm máy. Bên cạnh đó, việc chụp ảnh ở góc nhìn thấp cũng đơn giản hơn khi có thể điều chỉnh ống kính theo góc mong muốn mà không gặp trở ngại.\xa0\n\nPin dung lượng lớn, tối ưu tốc độ sạc với công nghệ SUPERVOOC'
 'Công nghệ màn hình: OLED\n\nKích thước màn hình: 7.82 inches\n\nĐộ phân giải màn hình: 2268 x 2440 pixels\n\n**Giới thiệu sản phẩm:** Đặc điểm nổi bật của OPPO Find N3 16GB 512GB\n\nOPPO Find N3 sở hữu cấu hình ấn tượng với con chip Snapdragon 8 Gen 2, 8 nhân CPU, GPU Adreno 740 và RAM 16GB cho khả năng đa nhiệm mạnh mẽ. Thiết bị cho ra hình ảnh hiển thị sắc nét, sống động với màn hình chính 7.82 inches, tần số quét 120Hz, độ phân giải 2K+ cùng độ sáng đến 2800 nits\n\nNội dung chính'
 'Hiệu năng ổn định, đạt điểm số ấn tượng\n\nOPPO N3 sở hữu nguồn sức mạnh vượt trội được cung cấp bởi con chip Snapdragon 8 thế hệ thứ 2, kết hợp 16GB RAM tối ưu đa nhiệm. Chipset này không chỉ mang đến hiệu suất mạnh mẽ cho thiết bị mà còn hỗ trợ xử lý tác vụ AI nhanh hơn. Với dung lượng RAM lớn, người dùng có thể dễ dàng chuyển đổi tab, ứng dụng một cách trơn tru, không giật lag.\n\nKhi chấm điểm hiệu năng OPPO Find N3, sản phẩm cũng đạt điểm số khá ấn tượng:\n\nAntutu đạt kết quả hơn 1.300.000 điểm.\n\nGeekbench 6 đạt điểm đa nhân 4941, đơn nhân 1565.']","OPPO Find N3 nổi bật với các thông số kỹ thuật sau:

- Camera 48MP + 64MP + 48MP (góc rộng) ở mặt sau và 2 Camera 20MP - 32MP ở mặt trước.
- Camera Tele 6x in-sensor zoom 16MP.
- Pin dung lượng lớn, công nghệ SUPERVOOC sạc nhanh.
- Màn hình OLED với kích thước 7.82 inches, tần số quét 120Hz, độ phân giải 2K+ và độ sáng lên đến 2800 nits.
- Con chip Snapdragon 8 Gen 2, 8 nhân CPU, GPU Adreno 740, RAM 16GB.

Đặc biệt, sản phẩm đạt điểm số Antutu hơn 1.300.000 điểm và Geekbench 6 đạt điểm đa nhân 4941, đơn nhân 1565.","OPPO Find N3 sở hữu pin 4805 mAh, chipset Snapdragon 8 Gen 2, RAM 16GB, bộ nhớ trong 512GB, và màn hình chính 7.82 inches với độ phân giải 2K+.",0.99999999995,0.6,1.0,0.8184820904634266
Điện thoại Sony Xperia 1 VI có giá bao nhiêu?,"['Điện thoại Sony Xperia 1 VI giá bao nhiêu?\n\nĐiện thoại Sony Xperia 1 VI chính hãng có giá từ 32.990.000đ\xa0tại CellphoneS. Đồng thời nếu tham gia thu cũ lên đời, khách hàng còn được giảm thêm đến 300.000đ khi thu cũ lên đời, cùng nhiều quà tặng hấp dẫn.\xa0\n\nHiện tại, giá của điện thoại Sony Xperia 1 VI có thể khác nhau tùy vào thị trường và nơi bán hàng. Tuy nhiên, thông thường, Xperia 1VI được định giá ở phân khúc cao cấp, phù hợp với các tính năng và công nghệ hàng đầu mà nó mang lại như màn hình OLED FHD+, chipset Snapdragon 8 Gen 3, RAM 12GB, và bộ nhớ trong 256GB.\n\nĐiện thoại Sony Xperia 1 VI khi nào ra mắt?'
 'Thiết kế hoài niệm, đa dạng với nhiều tuỳ chọn màu sắc\n\nĐiện thoại Sony Xperia 1 VI được thiết kế hoài niệm, đậm chất Sony sang trọng với khung kim loại nguyên khối và mặt kính cường lực. Thiết bị có các tùy chọn màu sắc bao gồm xanh lục xám và đen mang đến sự lựa chọn đa dạng cho người dùng.\xa0Kích thước của máy là 162 x 74 x 8.2 mm, vừa vặn trong tay và dễ dàng mang đi.\xa0\n\nĐiện thoại Sony Xperia 1 VI giá bao nhiêu?'
 'Nội dung chính\n\n1. Vì sao nên mua điện thoại\xa0Sony Xperia 1 VI?\n2. So sánh điện thoại\xa0Sony Xperia 1 VI với\xa0Sony Xperia 1 V\n3. Đánh giá Sony Xperia 1 VI mới: đẳng cấp, cuốn hút\n3.1. Chipset Qualcomm Snapdragon 8 Gen 3, RAM 12GB mạnh mẽ\n3.2. Camera 48MP, ống kính Zeiss cùng công nghệ thu phóng chất lượng\n3.3. Thời lượng pin 5000 mAh, sạc nhanh tiện lợi\n3.4. Màn hình OLED 6.5 inch chất lượng FHD+ sắc nét\n3.5. Thiết kế hoài niệm, đa dạng với nhiều tuỳ chọn màu sắc\n4. Điện thoại Sony Xperia 1 VI giá bao nhiêu?\n5. Điện thoại Sony Xperia 1 VI khi nào ra mắt?\n6. Mua ngay điện thoại Sony Xperia 1 VI đẳng cấp giá tốt, chính hãng tại CellphoneS\nVì sao nên mua điện thoại\xa0Sony Xperia 1 VI?']","Điện thoại Sony Xperia 1 VI có giá từ 32.990.000đ tại CellphoneS. Nếu khách hàng tham gia chương trình thu cũ lên đời, sẽ được giảm thêm 300.000đ.",Điện thoại Sony Xperia 1 VI có giá 22.990.000đ.,0.3333333333,0.0,1.0,0.7391450771298697
